epoch_index,hour_ts,tx_shard,avg_tps
3060.0,2025-03-17 06:00:00.000000 UTC,2,7.9899916597164307
3060.0,2025-03-17 06:00:00.000000 UTC,4,10.424520433694745
3060.0,2025-03-17 06:00:00.000000 UTC,5,7.6227411731998886
3060.0,2025-03-17 06:00:00.000000 UTC,6,11.242702251876564
3060.0,2025-03-17 06:00:00.000000 UTC,7,9.167083680845149
3060.0,2025-03-17 07:00:00.000000 UTC,0,13.424562378438456
3060.0,2025-03-17 07:00:00.000000 UTC,1,0.35176437899416507
3060.0,2025-03-17 07:00:00.000000 UTC,2,7.5523756599055289
3060.0,2025-03-17 07:00:00.000000 UTC,4,9.9847179772158938
3060.0,2025-03-17 07:00:00.000000 UTC,5,6.6637954987496526
3060.0,2025-03-17 07:00:00.000000 UTC,6,10.475409836065573
3060.0,2025-03-17 07:00:00.000000 UTC,7,10.11308696860239
3060.0,2025-03-17 08:00:00.000000 UTC,0,14.202056698165647
3060.0,2025-03-17 08:00:00.000000 UTC,1,0.28932740411339636
3060.0,2025-03-17 08:00:00.000000 UTC,2,6.5733740967204
3060.0,2025-03-17 08:00:00.000000 UTC,4,8.8062812673707622
3060.0,2025-03-17 08:00:00.000000 UTC,5,6.7896053362979432
3060.0,2025-03-17 08:00:00.000000 UTC,6,10.888549193996665
3060.0,2025-03-17 08:00:00.000000 UTC,7,11.643135075041689
3060.0,2025-03-17 09:00:00.000000 UTC,0,16.583217560433454
3060.0,2025-03-17 09:00:00.000000 UTC,1,0.30369547096415672
3060.0,2025-03-17 09:00:00.000000 UTC,2,6.567657682689636
3060.0,2025-03-17 09:00:00.000000 UTC,4,8.7782717421505971
3060.0,2025-03-17 09:00:00.000000 UTC,5,6.9980550152820227
3060.0,2025-03-17 09:00:00.000000 UTC,6,9.8744095582106137
3060.0,2025-03-17 09:00:00.000000 UTC,7,10.067518755209781
3060.0,2025-03-17 10:00:00.000000 UTC,0,15.857142857142858
3060.0,2025-03-17 10:00:00.000000 UTC,1,0.29488604780433575
3060.0,2025-03-17 10:00:00.000000 UTC,2,6.7676486937187326
3060.0,2025-03-17 10:00:00.000000 UTC,4,8.7545858810450259
3060.0,2025-03-17 10:00:00.000000 UTC,5,6.9302390216787106
3060.0,2025-03-17 10:00:00.000000 UTC,6,9.4141189549749864
3060.0,2025-03-17 10:00:00.000000 UTC,7,11.386881600889383
3060.0,2025-03-17 11:00:00.000000 UTC,0,15.816842690383547
3060.0,2025-03-17 11:00:00.000000 UTC,1,0.27765425236242358
3060.0,2025-03-17 11:00:00.000000 UTC,2,6.8938299055030576
3060.0,2025-03-17 11:00:00.000000 UTC,4,9.2162312395775423
3060.0,2025-03-17 11:00:00.000000 UTC,5,7.2679266259032795
3060.0,2025-03-17 11:00:00.000000 UTC,6,8.9802668148971652
3060.0,2025-03-17 11:00:00.000000 UTC,7,9.0533629794330182
3060.0,2025-03-17 12:00:00.000000 UTC,0,11.732984293193716
3060.0,2025-03-17 12:00:00.000000 UTC,1,0.65445026178010468
3060.0,2025-03-17 12:00:00.000000 UTC,2,6.664921465968586
3060.0,2025-03-17 12:00:00.000000 UTC,4,11.445026178010471
3060.0,2025-03-17 12:00:00.000000 UTC,5,11.795811518324607
3060.0,2025-03-17 12:00:00.000000 UTC,6,10.387434554973822
3060.0,2025-03-17 12:00:00.000000 UTC,7,6.2931937172774868
3061.0,2025-03-17 12:00:00.000000 UTC,0,11.674596182085169
3061.0,2025-03-17 12:00:00.000000 UTC,1,0.39530102790014682
3061.0,2025-03-17 12:00:00.000000 UTC,2,7.0701908957415567
3061.0,2025-03-17 12:00:00.000000 UTC,4,9.18237885462555
3061.0,2025-03-17 12:00:00.000000 UTC,5,7.6364170337738617
3061.0,2025-03-17 12:00:00.000000 UTC,6,9.5139500734214391
3061.0,2025-03-17 12:00:00.000000 UTC,7,10.506901615271659
3061.0,2025-03-17 13:00:00.000000 UTC,0,14.208727070594774
3061.0,2025-03-17 13:00:00.000000 UTC,1,0.35408560311284049
3061.0,2025-03-17 13:00:00.000000 UTC,2,9.5086158977209561
3061.0,2025-03-17 13:00:00.000000 UTC,4,12.808504724847138
3061.0,2025-03-17 13:00:00.000000 UTC,5,9.6909394107837681
3061.0,2025-03-17 13:00:00.000000 UTC,6,9.4402445803224015
3061.0,2025-03-17 13:00:00.000000 UTC,7,6.6103390772651469
3061.0,2025-03-17 14:00:00.000000 UTC,0,19.981934408004445
3061.0,2025-03-17 14:00:00.000000 UTC,1,0.33046136742634796
3061.0,2025-03-17 14:00:00.000000 UTC,2,13.687048360200111
3061.0,2025-03-17 14:00:00.000000 UTC,4,16.002501389660925
3061.0,2025-03-17 14:00:00.000000 UTC,5,13.969983324068927
3061.0,2025-03-17 14:00:00.000000 UTC,6,10.548916064480267
3061.0,2025-03-17 14:00:00.000000 UTC,7,9.7398554752640347
3061.0,2025-03-17 15:00:00.000000 UTC,0,19.480411225340372
3061.0,2025-03-17 15:00:00.000000 UTC,1,0.35037510419560991
3061.0,2025-03-17 15:00:00.000000 UTC,2,11.422339538760767
3061.0,2025-03-17 15:00:00.000000 UTC,4,15.976660183384274
3061.0,2025-03-17 15:00:00.000000 UTC,5,15.549597110308419
3061.0,2025-03-17 15:00:00.000000 UTC,6,10.531814392886913
3061.0,2025-03-17 15:00:00.000000 UTC,7,9.1208669074742978
3061.0,2025-03-17 16:00:00.000000 UTC,0,18.153418565869927
3061.0,2025-03-17 16:00:00.000000 UTC,1,0.31378543635352973
3061.0,2025-03-17 16:00:00.000000 UTC,2,10.065036131183991
3061.0,2025-03-17 16:00:00.000000 UTC,4,15.952195664257921
3061.0,2025-03-17 16:00:00.000000 UTC,5,13.837131739855476
3061.0,2025-03-17 16:00:00.000000 UTC,6,11.032795997776542
3061.0,2025-03-17 16:00:00.000000 UTC,7,8.6261812117843242
3061.0,2025-03-17 17:00:00.000000 UTC,0,17.016120066703724
3061.0,2025-03-17 17:00:00.000000 UTC,1,0.35491939966648139
3061.0,2025-03-17 17:00:00.000000 UTC,2,8.6848249027237348
3061.0,2025-03-17 17:00:00.000000 UTC,4,13.2615341856587
3061.0,2025-03-17 17:00:00.000000 UTC,5,12.313229571984436
3061.0,2025-03-17 17:00:00.000000 UTC,6,11.030016675931073
3061.0,2025-03-17 17:00:00.000000 UTC,7,6.6378543635352978
3061.0,2025-03-17 18:00:00.000000 UTC,0,18.653514865240343
3061.0,2025-03-17 18:00:00.000000 UTC,1,0.35037510419560991
3061.0,2025-03-17 18:00:00.000000 UTC,2,9.746874131703251
3061.0,2025-03-17 18:00:00.000000 UTC,4,14.117810502917477
3061.0,2025-03-17 18:00:00.000000 UTC,5,15.819394276187831
3061.0,2025-03-17 18:00:00.000000 UTC,6,8.8910808557932768
3061.0,2025-03-17 18:00:00.000000 UTC,7,6.92720200055571
3061.0,2025-03-17 19:00:00.000000 UTC,0,15.237354085603112
3061.0,2025-03-17 19:00:00.000000 UTC,1,0.28654808226792661
3061.0,2025-03-17 19:00:00.000000 UTC,2,9.7176209005002772
3061.0,2025-03-17 19:00:00.000000 UTC,4,12.904947192884936
3061.0,2025-03-17 19:00:00.000000 UTC,5,10.897720956086715
3061.0,2025-03-17 19:00:00.000000 UTC,6,8.646192329071706
3061.0,2025-03-17 19:00:00.000000 UTC,7,8.9024458032240137
3061.0,2025-03-17 20:00:00.000000 UTC,0,18.964424680377988
3061.0,2025-03-17 20:00:00.000000 UTC,1,0.27126181211784323
3061.0,2025-03-17 20:00:00.000000 UTC,2,10.554196775986659
3061.0,2025-03-17 20:00:00.000000 UTC,4,15.520566981656476
3061.0,2025-03-17 20:00:00.000000 UTC,5,14.300166759310729
3061.0,2025-03-17 20:00:00.000000 UTC,6,9.6350750416898272
3061.0,2025-03-17 20:00:00.000000 UTC,7,8.8910505836575879
3061.0,2025-03-17 21:00:00.000000 UTC,0,17.725201444845791
3061.0,2025-03-17 21:00:00.000000 UTC,1,0.26340650180605724
3061.0,2025-03-17 21:00:00.000000 UTC,2,9.452070019449847
3061.0,2025-03-17 21:00:00.000000 UTC,4,13.631564323423174
3061.0,2025-03-17 21:00:00.000000 UTC,5,14.106974159488747
3061.0,2025-03-17 21:00:00.000000 UTC,6,9.240622395109753
3061.0,2025-03-17 21:00:00.000000 UTC,7,8.1742150597388168
3061.0,2025-03-17 22:00:00.000000 UTC,0,17.979710950528069
3061.0,2025-03-17 22:00:00.000000 UTC,1,0.11311839911061701
3061.0,2025-03-17 22:00:00.000000 UTC,2,8.719010561423012
3061.0,2025-03-17 22:00:00.000000 UTC,4,12.82573652028905
3061.0,2025-03-17 22:00:00.000000 UTC,5,12.622290161200667
3061.0,2025-03-17 22:00:00.000000 UTC,6,9.163979988882712
3061.0,2025-03-17 22:00:00.000000 UTC,7,7.209282934963869
3061.0,2025-03-17 23:00:00.000000 UTC,0,17.812117843246249
3061.0,2025-03-17 23:00:00.000000 UTC,1,0.078654808226792661
3061.0,2025-03-17 23:00:00.000000 UTC,2,8.19899944413563
3061.0,2025-03-17 23:00:00.000000 UTC,4,11.79460811561979
3061.0,2025-03-17 23:00:00.000000 UTC,5,12.001667593107282
3061.0,2025-03-17 23:00:00.000000 UTC,6,7.8215675375208447
3061.0,2025-03-17 23:00:00.000000 UTC,7,6.8538076709282931
3061.0,2025-03-18 00:00:00.000000 UTC,0,20.553085047248473
3061.0,2025-03-18 00:00:00.000000 UTC,1,0.14257921067259588
3061.0,2025-03-18 00:00:00.000000 UTC,2,10.302112284602558
3061.0,2025-03-18 00:00:00.000000 UTC,4,13.904947192884936
3061.0,2025-03-18 00:00:00.000000 UTC,5,14.25792106725959
3061.0,2025-03-18 00:00:00.000000 UTC,6,8.0172317954419121
3061.0,2025-03-18 00:00:00.000000 UTC,7,7.7484713729849917
3061.0,2025-03-18 01:00:00.000000 UTC,0,20.538797447094389
3061.0,2025-03-18 01:00:00.000000 UTC,1,0.18172657037285858
3061.0,2025-03-18 01:00:00.000000 UTC,2,9.8357406785354389
3061.0,2025-03-18 01:00:00.000000 UTC,4,14.497816593886462
3061.0,2025-03-18 01:00:00.000000 UTC,5,14.987907289217333
3061.0,2025-03-18 01:00:00.000000 UTC,6,7.539133355727242
3061.0,2025-03-18 01:00:00.000000 UTC,7,12.002015451797112
3062.0,2025-03-18 01:00:00.000000 UTC,0,22.967741935483872
3062.0,2025-03-18 01:00:00.000000 UTC,1,0.24677419354838709
3062.0,2025-03-18 01:00:00.000000 UTC,2,11.546774193548387
3062.0,2025-03-18 01:00:00.000000 UTC,4,14.659677419354839
3062.0,2025-03-18 01:00:00.000000 UTC,5,15.416129032258064
3062.0,2025-03-18 01:00:00.000000 UTC,6,7.5
3062.0,2025-03-18 01:00:00.000000 UTC,7,11.856451612903227
3062.0,2025-03-18 02:00:00.000000 UTC,0,20.783490828237909
3062.0,2025-03-18 02:00:00.000000 UTC,1,0.20817120622568094
3062.0,2025-03-18 02:00:00.000000 UTC,2,10.760700389105059
3062.0,2025-03-18 02:00:00.000000 UTC,4,15.663702056698165
3062.0,2025-03-18 02:00:00.000000 UTC,5,15.409672040022235
3062.0,2025-03-18 02:00:00.000000 UTC,6,8.0692051139521954
3062.0,2025-03-18 02:00:00.000000 UTC,7,8.8426903835464152
3062.0,2025-03-18 03:00:00.000000 UTC,0,17.409558210614058
3062.0,2025-03-18 03:00:00.000000 UTC,1,0.18755209780494581
3062.0,2025-03-18 03:00:00.000000 UTC,2,8.9130313976104478
3062.0,2025-03-18 03:00:00.000000 UTC,4,12.73575993331481
3062.0,2025-03-18 03:00:00.000000 UTC,5,13.257849402611837
3062.0,2025-03-18 03:00:00.000000 UTC,6,10.403723256460127
3062.0,2025-03-18 03:00:00.000000 UTC,7,8.8735759933314817
3062.0,2025-03-18 04:00:00.000000 UTC,0,14.212559044178938
3062.0,2025-03-18 04:00:00.000000 UTC,1,0.18088357877188108
